Symbol,Date,Close
BNS,21/12/2015,40.3
BNS,22/12/2015,40.45
BNS,23/12/2015,41.45
BNS,24/12/2015,41.83
BNS,28/12/2015,41.37
BNS,29/12/2015,42.08
BNS,30/12/2015,41.54
BNS,31/12/2015,40.44
BNS,04/01/2016,39.86
BNS,05/01/2016,40.14
BNS,06/01/2016,39.17
BNS,07/01/2016,38.53
BNS,08/01/2016,38.55
BNS,11/01/2016,38.07
BNS,12/01/2016,37.91
BNS,13/01/2016,36.94
BNS,14/01/2016,37.32
BNS,15/01/2016,36
BNS,19/01/2016,36.55
BNS,20/01/2016,35.8
BNS,21/01/2016,36.91
BNS,22/01/2016,38.45
BNS,25/01/2016,37.08
BNS,26/01/2016,37.82
BNS,27/01/2016,38.47
BNS,28/01/2016,40.15
BNS,29/01/2016,40.84
BNS,01/02/2016,40.45
BNS,02/02/2016,39.59
BNS,03/02/2016,40.5
BNS,04/02/2016,41.34
BNS,05/02/2016,40.86
BNS,08/02/2016,39.98
BNS,09/02/2016,38.99
BNS,10/02/2016,37.78
BNS,11/02/2016,37.36
BNS,12/02/2016,38.98
BNS,16/02/2016,39.66
BNS,17/02/2016,41.02
BNS,18/02/2016,40.97
BNS,19/02/2016,40.66
BNS,22/02/2016,40.52
BNS,23/02/2016,39.8
BNS,24/02/2016,39.13
BNS,25/02/2016,39.55
BNS,26/02/2016,39.96
BNS,29/02/2016,40
BNS,01/03/2016,43.13
BNS,02/03/2016,43.02
BNS,03/03/2016,43.74
BNS,04/03/2016,44.66
BNS,07/03/2016,45.61
BNS,08/03/2016,45.65
BNS,09/03/2016,46.64
BNS,10/03/2016,46.15
BNS,11/03/2016,47.08
BNS,14/03/2016,46.78
BNS,15/03/2016,46.66
BNS,16/03/2016,47.58
BNS,17/03/2016,49.17
BNS,18/03/2016,48.73
BNS,21/03/2016,48.64
BNS,22/03/2016,48.68
BNS,23/03/2016,47.86
BNS,24/03/2016,47.06
BNS,28/03/2016,47.7
BNS,29/03/2016,48.39
BNS,30/03/2016,49.02
BNS,31/03/2016,48.86
BNS,01/04/2016,48.19
BNS,04/04/2016,47.76
BNS,05/04/2016,47.11
BNS,06/04/2016,47.32
BNS,07/04/2016,46.63
BNS,08/04/2016,47.6
BNS,11/04/2016,47.69
BNS,12/04/2016,49.05
BNS,13/04/2016,49.6
BNS,14/04/2016,49.69
BNS,15/04/2016,49.51
BNS,18/04/2016,49.75
BNS,19/04/2016,50.83
BNS,20/04/2016,51.59
BNS,21/04/2016,51.08
BNS,22/04/2016,51.55
BNS,25/04/2016,51.19
BNS,26/04/2016,51.63
BNS,27/04/2016,51.86
BNS,28/04/2016,51.96
BNS,29/04/2016,52.45
BNS,02/05/2016,52
BNS,03/05/2016,49.88
BNS,04/05/2016,48.73
BNS,05/05/2016,48.1
BNS,06/05/2016,48.12
BNS,09/05/2016,47.62
BNS,10/05/2016,48.29
BNS,11/05/2016,48.85
BNS,12/05/2016,49.04
BNS,13/05/2016,48.42
BNS,16/05/2016,48.86
BNS,17/05/2016,48.67
BNS,18/05/2016,48.55
BNS,19/05/2016,47.88
BNS,20/05/2016,48.1
BNS,23/05/2016,48.29
BNS,24/05/2016,48.5
BNS,25/05/2016,49.67
BNS,26/05/2016,49.77
BNS,27/05/2016,49.89
BNS,31/05/2016,48.93
BNS,01/06/2016,49.69
BNS,02/06/2016,49.99
BNS,03/06/2016,50.56
BNS,06/06/2016,51.43
BNS,07/06/2016,52.54
BNS,08/06/2016,52.66
BNS,09/06/2016,52.14
BNS,10/06/2016,51.13
BNS,13/06/2016,50.77
BNS,14/06/2016,50.25
BNS,15/06/2016,49.72
BNS,16/06/2016,49.57
BNS,17/06/2016,50.02
BNS,20/06/2016,50.8
BNS,21/06/2016,50.89
BNS,22/06/2016,50.54
BNS,23/06/2016,51.39
BNS,24/06/2016,49.26
BNS,27/06/2016,48.04
BNS,28/06/2016,48.94
BNS,29/06/2016,49.76
BNS,30/06/2016,49.01
BNS,01/07/2016,49.41
BNS,05/07/2016,48.65
BNS,06/07/2016,48.7
BNS,07/07/2016,48.32
BNS,08/07/2016,48.6
BNS,11/07/2016,48.74
BNS,12/07/2016,49.58
BNS,13/07/2016,50.05
BNS,14/07/2016,50.55
BNS,15/07/2016,50.76
BNS,18/07/2016,50.61
BNS,19/07/2016,50.35
BNS,20/07/2016,50.49
BNS,21/07/2016,50.25
BNS,22/07/2016,50.23
BNS,25/07/2016,49.77
BNS,26/07/2016,50.23
BNS,27/07/2016,50.28
BNS,28/07/2016,50.44
BNS,29/07/2016,50.77
BNS,01/08/2016,49.96
BNS,02/08/2016,50.12
BNS,03/08/2016,50.25
BNS,04/08/2016,50.28
BNS,05/08/2016,50.36
BNS,08/08/2016,50.65
BNS,09/08/2016,50.98
BNS,10/08/2016,51.09
BNS,11/08/2016,51.59
BNS,12/08/2016,51.53
BNS,15/08/2016,51.69
BNS,16/08/2016,51.75
BNS,17/08/2016,51.89
BNS,18/08/2016,52.09
BNS,19/08/2016,51.65
BNS,22/08/2016,51.47
BNS,23/08/2016,52.21
BNS,24/08/2016,53.06
BNS,25/08/2016,53.25
BNS,26/08/2016,53
BNS,29/08/2016,52.86
BNS,30/08/2016,53.46
BNS,31/08/2016,53.22
BNS,01/09/2016,53.62
BNS,02/09/2016,54.33
BNS,06/09/2016,54.95
BNS,07/09/2016,54.79
BNS,08/09/2016,54.39
BNS,09/09/2016,53.48
BNS,12/09/2016,53.35
BNS,13/09/2016,52.09
BNS,14/09/2016,52.18
BNS,15/09/2016,53.26
BNS,16/09/2016,52.9
BNS,19/09/2016,53.01
BNS,20/09/2016,53.31
BNS,21/09/2016,53.97
BNS,22/09/2016,54.44
BNS,23/09/2016,53.49
BNS,26/09/2016,53.26
BNS,27/09/2016,53.09
BNS,28/09/2016,53.99
BNS,29/09/2016,53.66
BNS,30/09/2016,52.99
BNS,03/10/2016,52.97
BNS,04/10/2016,52.63
BNS,05/10/2016,52.95
BNS,06/10/2016,52.78
BNS,07/10/2016,52.32
BNS,10/10/2016,52.83
BNS,11/10/2016,52.77
BNS,12/10/2016,52.81
BNS,13/10/2016,53.17
BNS,14/10/2016,53.42
BNS,17/10/2016,53.4
BNS,18/10/2016,53.93
BNS,19/10/2016,54
BNS,20/10/2016,53.72
BNS,21/10/2016,53.46
BNS,24/10/2016,53.62
BNS,25/10/2016,53.77
BNS,26/10/2016,53.63
BNS,27/10/2016,53.96
BNS,28/10/2016,53.85
BNS,31/10/2016,53.76
BNS,01/11/2016,53.79
BNS,02/11/2016,53.27
BNS,03/11/2016,53.51
BNS,04/11/2016,52.89
BNS,07/11/2016,53.68
BNS,08/11/2016,54.28
BNS,09/11/2016,53.52
BNS,10/11/2016,53.2
BNS,11/11/2016,52.45
BNS,14/11/2016,51.58
BNS,15/11/2016,52.37
BNS,16/11/2016,52.52
BNS,17/11/2016,53.04
BNS,18/11/2016,53.28
BNS,21/11/2016,54.2
BNS,22/11/2016,54.02
BNS,23/11/2016,53.82
BNS,25/11/2016,53.94
BNS,28/11/2016,53.94
BNS,29/11/2016,54.88
BNS,30/11/2016,55.25
BNS,01/12/2016,55.64
BNS,02/12/2016,56.01
BNS,05/12/2016,55.99
BNS,06/12/2016,56.2
BNS,07/12/2016,57.11
BNS,08/12/2016,57.76
BNS,09/12/2016,58.32
BNS,12/12/2016,58.28
BNS,13/12/2016,58.7
BNS,14/12/2016,57.69
BNS,15/12/2016,57.34
BNS,16/12/2016,56.94
BNS,19/12/2016,56.69
BNS,20/12/2016,56.81
BNS,21/12/2016,56.55
BNS,22/12/2016,56.48
BNS,23/12/2016,56.19
BNS,27/12/2016,56.3
BNS,28/12/2016,56.22
BNS,29/12/2016,55.83
BNS,30/12/2016,55.68
BNS,03/01/2017,56.38
BNS,04/01/2017,57.44
BNS,05/01/2017,57.79
BNS,06/01/2017,57.88
BNS,09/01/2017,57.69
BNS,10/01/2017,58.18
BNS,11/01/2017,58.95
BNS,12/01/2017,58.78
BNS,13/01/2017,59.11
BNS,17/01/2017,58.74
BNS,18/01/2017,57.66
BNS,19/01/2017,57.64
BNS,20/01/2017,58.07
BNS,23/01/2017,58.45
BNS,24/01/2017,59.24
BNS,25/01/2017,59.9
BNS,26/01/2017,60.01
BNS,27/01/2017,59.88
BNS,30/01/2017,59.64
BNS,31/01/2017,59.78
BNS,01/02/2017,59.73
BNS,02/02/2017,59.7
BNS,03/02/2017,60.18
BNS,06/02/2017,59.78
BNS,07/02/2017,60.06
BNS,08/02/2017,60.44
BNS,09/02/2017,60.73
BNS,10/02/2017,61.36
BNS,13/02/2017,61.57
BNS,14/02/2017,61.76
BNS,15/02/2017,62.34
BNS,16/02/2017,62.69
BNS,17/02/2017,62.47
BNS,21/02/2017,62.29
BNS,22/02/2017,62.2
BNS,23/02/2017,62.26
BNS,24/02/2017,61.29
BNS,27/02/2017,60.96
BNS,28/02/2017,58.19
BNS,01/03/2017,59.06
BNS,02/03/2017,58.7
BNS,03/03/2017,59.8
BNS,06/03/2017,59.78
BNS,07/03/2017,59.62
BNS,08/03/2017,58.88
BNS,09/03/2017,58.56
BNS,10/03/2017,58.66
BNS,13/03/2017,59.28
BNS,14/03/2017,58.61
BNS,15/03/2017,58.75
BNS,16/03/2017,58.8
BNS,17/03/2017,58.37
BNS,20/03/2017,57.87
BNS,21/03/2017,57.1
BNS,22/03/2017,57.71
BNS,23/03/2017,57.99
BNS,24/03/2017,58.14
BNS,27/03/2017,58.59
BNS,28/03/2017,59.03
BNS,29/03/2017,59.47
BNS,30/03/2017,59.55
BNS,31/03/2017,58.57
BNS,03/04/2017,58.33
BNS,04/04/2017,58.24
BNS,05/04/2017,58.18
BNS,06/04/2017,58.7
BNS,07/04/2017,58.24
