Symbol,Date,Close
L,01/08/2014,42.25
L,04/08/2014,42.29
L,05/08/2014,42.11
L,06/08/2014,42.14
L,07/08/2014,41.73
L,08/08/2014,42.1
L,11/08/2014,42.15
L,12/08/2014,41.93
L,13/08/2014,42.13
L,14/08/2014,42.31
L,15/08/2014,42.22
L,18/08/2014,42.19
L,19/08/2014,42.31
L,20/08/2014,42.72
L,21/08/2014,43.18
L,22/08/2014,43.06
L,25/08/2014,43.56
L,26/08/2014,43.67
L,27/08/2014,43.59
L,28/08/2014,43.55
L,29/08/2014,43.74
L,02/09/2014,43.6
L,03/09/2014,43.54
L,04/09/2014,43.36
L,05/09/2014,43.45
L,08/09/2014,43.12
L,09/09/2014,42.82
L,10/09/2014,42.82
L,11/09/2014,42.6
L,12/09/2014,42.41
L,15/09/2014,42.43
L,16/09/2014,42.43
L,17/09/2014,42.42
L,18/09/2014,43.02
L,19/09/2014,42.89
L,22/09/2014,42.52
L,23/09/2014,42.05
L,24/09/2014,42.38
L,25/09/2014,41.79
L,26/09/2014,42.25
L,29/09/2014,41.98
L,30/09/2014,41.66
L,01/10/2014,41.33
L,02/10/2014,41.45
L,03/10/2014,41.81
L,06/10/2014,41.89
L,07/10/2014,41.24
L,08/10/2014,41.76
L,09/10/2014,40.9
L,10/10/2014,40.55
L,13/10/2014,40.36
L,14/10/2014,40.69
L,15/10/2014,40.22
L,16/10/2014,40.6
L,17/10/2014,41.15
L,20/10/2014,41.49
L,21/10/2014,42.29
L,22/10/2014,41.92
L,23/10/2014,42.19
L,24/10/2014,42.5
L,27/10/2014,42.6
L,28/10/2014,43.05
L,29/10/2014,43.06
L,30/10/2014,43.1
L,31/10/2014,43.6
L,03/11/2014,43.12
L,04/11/2014,43.15
L,05/11/2014,43.75
L,06/11/2014,43.43
L,07/11/2014,43.51
L,10/11/2014,43.46
L,11/11/2014,43.48
L,12/11/2014,43.25
L,13/11/2014,42.96
L,14/11/2014,42.78
L,17/11/2014,42.59
L,18/11/2014,42.68
L,19/11/2014,42.64
L,20/11/2014,42.74
L,21/11/2014,42.94
L,24/11/2014,43.06
L,25/11/2014,42.65
L,26/11/2014,42.42
L,28/11/2014,41.64
L,01/12/2014,41.23
L,02/12/2014,41.25
L,03/12/2014,41.21
L,04/12/2014,41
L,05/12/2014,41.05
L,08/12/2014,41.23
L,09/12/2014,41.04
L,10/12/2014,40.31
L,11/12/2014,40.42
L,12/12/2014,39.44
L,15/12/2014,39.45
L,16/12/2014,39.07
L,17/12/2014,39.69
L,18/12/2014,41.03
L,19/12/2014,41.81
L,22/12/2014,42.17
L,23/12/2014,42.57
L,24/12/2014,42.37
L,26/12/2014,42.39
L,29/12/2014,42.48
L,30/12/2014,42.55
L,31/12/2014,42.02
L,02/01/2015,41.74
L,05/01/2015,40.74
L,06/01/2015,40.02
L,07/01/2015,40.02
L,08/01/2015,40.66
L,09/01/2015,40.05
L,12/01/2015,39.67
L,13/01/2015,39.65
L,14/01/2015,39.26
L,15/01/2015,38.81
L,16/01/2015,39.31
L,20/01/2015,39.35
L,21/01/2015,39.22
L,22/01/2015,39.85
L,23/01/2015,39.44
L,26/01/2015,39.54
L,27/01/2015,39.43
L,28/01/2015,38.46
L,29/01/2015,38.68
L,30/01/2015,38.26
L,02/02/2015,39.16
L,03/02/2015,40.31
L,04/02/2015,40.4
L,05/02/2015,40.73
L,06/02/2015,40.74
L,09/02/2015,41.23
L,10/02/2015,41.51
L,11/02/2015,41.47
L,12/02/2015,41.92
L,13/02/2015,42.34
L,17/02/2015,42.53
L,18/02/2015,42.15
L,19/02/2015,42.38
L,20/02/2015,42.35
L,23/02/2015,42.09
L,24/02/2015,42.42
L,25/02/2015,41.75
L,26/02/2015,41.21
L,27/02/2015,41.01
L,02/03/2015,40.59
L,03/03/2015,41
L,04/03/2015,40.66
L,05/03/2015,40.69
L,06/03/2015,40.48
L,09/03/2015,40.62
L,10/03/2015,39.45
L,11/03/2015,39.69
L,12/03/2015,40.48
L,13/03/2015,39.93
L,16/03/2015,40.43
L,17/03/2015,40.55
